公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態
22555003,統一超商股份有限公司,27243803,台北縣第六五七分公司,新北市新店區安民街二一四、二一六號一樓,03
22555003,統一超商股份有限公司,27243819,台中縣第二一一分公司,臺中市東勢區南平里豐勢路三三六號一樓,01
22555003,統一超商股份有限公司,27243825,嘉義市第四十四分公司,嘉義市西區湖內里南京路一二四號一樓,01
22555003,統一超商股份有限公司,27243830,桃園縣第七十一分公司,桃園市大園區中正東路四二八號一樓,01
22555003,統一超商股份有限公司,27243846,新竹市第八十六分公司,新竹市東區東南街98號1樓,01
22555003,統一超商股份有限公司,27244351,桃園縣第五十五分公司,桃園市龜山區萬壽路二段三五五號一樓,03
22555003,統一超商股份有限公司,27244367,台東縣第四十一分公司,臺東縣臺東市豐榮里仁昌街一四八號一樓,01
22555003,統一超商股份有限公司,27244373,台北縣第六五八分公司,新北市泰山區仁愛路100巷26、28、30號1樓,01
22555003,統一超商股份有限公司,27244388,新北市第六五九分公司,新北市樹林區俊英街156號1樓,01
22555003,統一超商股份有限公司,27244514,新竹縣第七十四分公司,新竹縣竹北市縣政二路三六八之一、三六八之二號一樓,03
22555003,統一超商股份有限公司,27244520,台南市第一五八分公司,臺南市南區金華里十五鄰健康路二段四一五號一樓,03
22555003,統一超商股份有限公司,27244866,台北縣第六十二分公司,新北市金山區中正路一四五號一樓,01
22555003,統一超商股份有限公司,27244872,桃園縣第四十二分公司,桃園市蘆竹區南崁路二段九十六號,01
22555003,統一超商股份有限公司,27244887,桃園縣第一０九分公司,桃園市桃園區中平路一０二號一樓,01
22555003,統一超商股份有限公司,27245008,台中縣第二一二分公司,臺中市神岡區豐洲村豐洲路四六九號一樓,01
22555003,統一超商股份有限公司,27245014,雲林縣第七十五分公司,雲林縣斗六市漢口路167號1樓,01
22555003,統一超商股份有限公司,27245035,台北市第一一六分公司,臺北市中正區光復里延平南路四十七號一樓,01
22555003,統一超商股份有限公司,27245041,台中市第六十八分公司,臺中市南屯區三和里公益路二段六０一號一樓,03
22555003,統一超商股份有限公司,27245605,台北市第四０六分公司,臺北市士林區雨聲街六十三號,03
22555003,統一超商股份有限公司,27245611,台南縣第一五四分公司,臺南市善化區文正里興農路四號一樓,01
22555003,統一超商股份有限公司,27245632,台北縣第六００分公司,新北市淡水區自強路二七五號一樓,01
22555003,統一超商股份有限公司,27245648,桃園縣第二五０分公司,桃園市楊梅區高山里梅高路一三三號一樓,01
22555003,統一超商股份有限公司,27245653,彰化縣第一一九分公司,彰化縣彰化市旭光路三００號一樓,03
22555003,統一超商股份有限公司,27245801,花蓮縣第八分公司,花蓮縣花蓮市國慶里十鄰中山路一段7、9號1樓,01
22555003,統一超商股份有限公司,27246077,新竹縣第六十三分公司,新竹縣竹北市中正西路三八二、三八四號一樓,01
22555003,統一超商股份有限公司,27246148,桃園縣第三七七分公司,桃園市桃園區三民路三段490、492號1樓,01
22555003,統一超商股份有限公司,27246338,台中縣第二一三分公司,臺中市太平區中山里大源二街1、3號1樓,01
22555003,統一超商股份有限公司,27246421,桃園縣第三二七分公司,桃園市大溪區仁愛里五鄰埔頂路一段四六八號,01
22555003,統一超商股份有限公司,27246436,台中縣第二一四分公司,臺中市清水區田寮里高美路一九０號一樓,01
22555003,統一超商股份有限公司,27246442,嘉義市第二十二分公司,嘉義市東區大雅路二段421號1樓,01
22555003,統一超商股份有限公司,27246668,台北縣第二二０分公司,新北市板橋區龍翠里大同街五十二號一樓,01
22555003,統一超商股份有限公司,27246674,金門縣第一分公司,金門縣金城鎮南門里浯江北堤路100號1樓,01
22555003,統一超商股份有限公司,27246689,新竹市第十三分公司,新竹市東大路二段一七四號一樓,01
22555003,統一超商股份有限公司,27246695,苗栗縣第七十五分公司,苗栗縣竹南鎮博愛街二一七號一樓,03
22555003,統一超商股份有限公司,27246702,苗栗縣第七十六分公司,苗栗縣頭份市建國路二段一二八號一樓,01
22555003,統一超商股份有限公司,27246870,台北縣第五九九分公司,新北市樹林區大安路二一一、二一三號一樓,03
22555003,統一超商股份有限公司,27246885,新竹縣第七十五分公司,新竹縣竹北市光明六路一號一樓,03
22555003,統一超商股份有限公司,27246891,台中縣第二一五分公司,臺中市潭子區頭張路一段三十一號一樓,01
22555003,統一超商股份有限公司,27246962,桃園縣第三００分公司,桃園市桃園區國豐六街２５號、國強七街１１１、１１３號,01
22555003,統一超商股份有限公司,27246978,屏東縣第六十六分公司,屏東縣長治鄉香楊村瑞光路一段七四五號一樓,03
22555003,統一超商股份有限公司,27246983,台北市第三七八分公司,臺北市信義區松德路二七一號,01
22555003,統一超商股份有限公司,27246999,台北市第四二一分公司,臺北市士林區大東路八十二號,03
22555003,統一超商股份有限公司,27247006,台北縣第五三六分公司,新北市新店區安民街二四八號一樓,03
22555003,統一超商股份有限公司,27247131,桃園縣第三三九分公司,桃園市桃園區復興路一五九號一樓,03
22555003,統一超商股份有限公司,27247147,桃園縣第三六四分公司,桃園市觀音區新坡里中山路二段九六七、九六九、九七一號,03
22555003,統一超商股份有限公司,27247152,台中縣第一三四分公司,臺中市豐原區豐勢路二段三九六號一樓,01
22555003,統一超商股份有限公司,27247168,南投縣第六十三分公司,南投縣南投市彰南路一段1031-2號1樓,01
22555003,統一超商股份有限公司,27247174,台南縣第一五五分公司,臺南市東山區東原村前大埔一六二號,03
22555003,統一超商股份有限公司,27247189,高雄市第四一○分公司,高雄市鳳山區過埤里鳳頂路四八０號一樓,03
22555003,統一超商股份有限公司,27247195,台東縣第三十二分公司,臺東縣臺東市知本里知本路三段七號一樓,03
22555003,統一超商股份有限公司,27247202,台東縣第四十二分公司,臺東縣臺東市馬蘭里新生路680、682、684號1樓,01
22555003,統一超商股份有限公司,27247625,新北市第三四四分公司,新北市五股區成泰路3段577巷92、94、96號1樓,01
22555003,統一超商股份有限公司,27247630,南投縣第六十四分公司,南投縣埔里鎮中華路166號1樓,01
22555003,統一超商股份有限公司,27247646,高雄市第七十七分公司,高雄市苓雅區文橫二路41號1樓,01
22555003,統一超商股份有限公司,27247884,台北市第二十二分公司,臺北市大同區延平北路3段61-4、61-5號1樓,01
22555003,統一超商股份有限公司,27247890,台北縣第六三四分公司,新北市板橋區雙十路二段四十七巷三十、三十二號一樓,01
22555003,統一超商股份有限公司,27247907,桃園縣第一四四分公司,桃園市中壢區興南里十五鄰新生路一八二號,01
22555003,統一超商股份有限公司,27247913,台南市第四十八分公司,臺南市安南區安慶里安和路二段二十七號,01
22555003,統一超商股份有限公司,27247929,台北市第四八四分公司,臺北市士林區忠誠路一段二十三號一樓,03
22555003,統一超商股份有限公司,27247934,台北縣第二十五分公司,新北市林口區八德路五十二巷十七號一樓,01
22555003,統一超商股份有限公司,27247940,桃園縣第一七九分公司,桃園市桃園區北埔里二十鄰莊敬路二段四十七號,03
22555003,統一超商股份有限公司,27247955,台南縣第一五六分公司,臺南市永康區北灣里大灣路62號,01
22555003,統一超商股份有限公司,27247977,台中市第六十四分公司,臺中市西屯區逢甲里西屯路二段二五二、二五四號一樓,03
22555003,統一超商股份有限公司,27247982,彰化縣第二十四分公司,彰化縣員林市大同路二段二號一樓,03
22555003,統一超商股份有限公司,27247998,高雄市第一三六分公司,高雄市小港區松山里高鳳路34-4、34-5、34-6號1樓,01
22555003,統一超商股份有限公司,27248005,高雄市第二四三分公司,高雄市前金區復元里中華三路七十九號一樓,03
22555003,統一超商股份有限公司,27248069,桃園縣第三七八分公司,桃園市蘆竹區山林路3段170-2號1樓,01
22555003,統一超商股份有限公司,27248075,新竹縣第四十六分公司,新竹縣竹北市嘉豐北路七十六、七十八號一樓,01
22555003,統一超商股份有限公司,27248080,南投縣第六十五分公司,南投縣草屯鎮碧興路一段七九八之一號一樓,01
22555003,統一超商股份有限公司,27248096,台北市第四七七分公司,臺北市內湖區內湖路二段一０三巷一０二號一樓,03
22555003,統一超商股份有限公司,27248103,台南縣第一五七分公司,臺南市白河區永安里7鄰中正路215號1樓,03
22555003,統一超商股份有限公司,27248119,高雄市第二四四分公司,高雄市左營區菜公里華廈路一三四七號一樓,03
22555003,統一超商股份有限公司,27248429,嘉義縣第十八分公司,嘉義縣民雄鄉北勢子73-54、73-55號1樓,01
22555003,統一超商股份有限公司,27248434,屏東縣第一分公司,屏東縣屏東市前進里清進巷一五０號一樓,01
22555003,統一超商股份有限公司,27248455,台北縣第六六０分公司,新北市板橋區實踐路九十三巷五十二號一樓,03
22555003,統一超商股份有限公司,27248461,桃園縣第三七九分公司,桃園市觀音區富源里三鄰新富路六一七、六一九、六二一號,03
22555003,統一超商股份有限公司,27248477,高雄市第二四五分公司,高雄市三民區本上里黃興路一五一號一樓,01
22555003,統一超商股份有限公司,27248482,高雄市第二四六分公司,高雄市三民區安發里平等路九十一、九十三號一樓,01
22555003,統一超商股份有限公司,27248639,台北市第五七七分公司,臺北市大安區車層里忠孝東路４段２１８號,03
22555003,統一超商股份有限公司,27248645,台北縣第六六一分公司,新北市三峽區中華路４６、４６之１號１樓,03
22555003,統一超商股份有限公司,27248650,桃園縣第三八０分公司,桃園市平鎮區長沙街1號1樓、上海路115號1樓,01
22555003,統一超商股份有限公司,27248954,花蓮縣第六十分公司,花蓮縣新城鄉康樂村康樂路286、288號1樓,01
22555003,統一超商股份有限公司,27248960,彰化縣第一０六分公司,彰化縣員林市仁美里靜修東路４３號１樓,03
22555003,統一超商股份有限公司,27248976,嘉義縣第四十四分公司,嘉義縣朴子市大葛里23鄰嘉朴路西段121號1樓,01
22555003,統一超商股份有限公司,27248981,台東縣第四十三分公司,臺東縣大武鄉尚武村環港路３號１樓,01
22555003,統一超商股份有限公司,27249139,台北縣第六六二分公司,新北市三重區錦田里中正北路１８－１號１樓,03
22555003,統一超商股份有限公司,27249145,台北縣第六六三分公司,新北市瑞芳區三爪子坑路１５、１７號１樓,01
22555003,統一超商股份有限公司,27249150,台北縣第六六四分公司,新北市五股區成泰路３段５７７巷２４號１樓,01
22555003,統一超商股份有限公司,27249166,新北市第六六五分公司,新北市蘆洲區中正路185巷50、52號1樓,01
22555003,統一超商股份有限公司,27249172,基隆市第四十六分公司,基隆市新豐街303巷11弄1、3號1樓,01
22555003,統一超商股份有限公司,27249187,台北縣第五六九分公司,新北市土城區青雲路３１９號１樓,03
22555003,統一超商股份有限公司,27249193,台中市第八十七分公司,臺中市西區健行路1046、1046-1、1046-2號1樓,01
22555003,統一超商股份有限公司,27249200,台中市第一六五分公司,臺中市西區精誠路６４、６６號１樓,03
22555003,統一超商股份有限公司,27249481,台中縣第二一六分公司,臺中市沙鹿區光華路５０２、５０６號１樓,01
22555003,統一超商股份有限公司,27249497,彰化縣第一０九分公司,彰化縣二林鎮北平里21鄰仁愛路425號1樓,01
22555003,統一超商股份有限公司,27249503,南投縣第六十六分公司,南投縣信義鄉玉山路８２之２號１樓,01
22555003,統一超商股份有限公司,27249519,桃園縣第三八一分公司,桃園市桃園區大林里樹仁三街１０２號１樓,01
22555003,統一超商股份有限公司,27249525,桃園縣第三八二分公司,桃園市楊梅區楊新路３段３３１、３３３號１樓,01
22555003,統一超商股份有限公司,27249530,新竹縣第七十六分公司,新竹縣竹東鎮中山路６７號１樓,03
22555003,統一超商股份有限公司,27249546,宜蘭縣第三十四分公司,宜蘭縣礁溪鄉礁溪路６段２號,03
22555003,統一超商股份有限公司,27249551,台北市第五三九分公司,臺北市文山區興業里興隆路2段244巷20號,01
22555003,統一超商股份有限公司,27249567,台北縣第六六六分公司,新北市五股區成泰路１段２之５、２之６號１樓,03
22555003,統一超商股份有限公司,27249573,雲林縣第十分公司,雲林縣臺西鄉民族路16-7號1樓,01
22555003,統一超商股份有限公司,27249588,桃園縣第三八三分公司,桃園市桃園區建國路４９、４９之１號,03
22555003,統一超商股份有限公司,27249829,花蓮縣第十九分公司,花蓮縣花蓮市民心里華西１２１之２、１２１之３號１樓,03
22555003,統一超商股份有限公司,27249834,新竹縣第七十七分公司,新竹縣竹北市勝利五路２２３號１樓,03
22555003,統一超商股份有限公司,27249840,屏東縣第二十八分公司,屏東縣高樹鄉高樹村南興路７４之３號１樓,01
22555003,統一超商股份有限公司,27249953,嘉義市第三十八分公司,嘉義市西區光路里２鄰新民路４７２號１樓,03
22555003,統一超商股份有限公司,27250108,花蓮縣第六十一分公司,花蓮縣新城鄉北埔村北埔路282號1樓,01
22555003,統一超商股份有限公司,27250114,台北市第四八０分公司,臺北市八德路2段314號1樓,01
22555003,統一超商股份有限公司,27250120,台北市第四四０分公司,臺北市中山區遼寧街110號1樓 / 遼寧街108巷1號1樓,01
22555003,統一超商股份有限公司,27250135,台北縣第六六七分公司,新北市五股區西雲路２４３、２４５、２４７號１樓,03
22555003,統一超商股份有限公司,27250141,彰化縣第一二０分公司,彰化縣員林市員集路2段216號,01
22555003,統一超商股份有限公司,27250156,彰化縣第一二一分公司,彰化縣社頭鄉員集路３段１６號１樓,01
22555003,統一超商股份有限公司,27250368,台北縣第六七一分公司,新北市泰山區仁愛路６６號１樓,01
22555003,統一超商股份有限公司,27250374,台北市第五三四分公司,臺北市文山區景華里景興路14號,01
22555003,統一超商股份有限公司,27250389,新北市第六六九分公司,新北市樹林區國凱街55號1樓,01
22555003,統一超商股份有限公司,27250395,台北縣第六七０分公司,新北市樹林區柑園街１段６７、６７－１號１樓,01
22555003,統一超商股份有限公司,27250402,桃園縣第三八四分公司,桃園市八德區廣隆里２１鄰福國街５４、５６號,03
22555003,統一超商股份有限公司,27250584,新竹市第八十三分公司,新竹市香山區香北路１８１、１８３號１樓,01
22555003,統一超商股份有限公司,27250590,新竹市第四十一分公司,新竹市香山區海埔路１３６號 ,01
22555003,統一超商股份有限公司,27250607,台北市第五七八分公司,臺北市中正區網溪里廈門街１１４巷２號１樓,03
22555003,統一超商股份有限公司,27250613,台北市第五七九分公司,臺北市大安區虎嘯里樂業街４３號１樓,03
22555003,統一超商股份有限公司,27250629,新北市第六七二分公司,新北市新莊區公園一路34、36號1樓,01
22555003,統一超商股份有限公司,27250634,高雄市第九十六分公司,高雄市三民區鼎泰里河堤路５１０號１樓,01
22555003,統一超商股份有限公司,27250780,台北縣第六六八分公司,新北市新莊區中華路１段７３號１樓,01
22555003,統一超商股份有限公司,27250796,台北市第三十一分公司,臺北市中山區南京東２段２３號１樓,03
22555003,統一超商股份有限公司,27250803,宜蘭縣第六十二分公司,宜蘭縣宜蘭市女中路三段26-6、26-7、26-8號1樓,01
