"","公司名稱","分公司統一編號","分公司地址","city","lon","lat"
"50","統一超商股份有限公司",16085258,"臺北市萬華區環河南路二段200號1樓","臺北市",121.4930782,25.0340846
"51","統一超商股份有限公司",16085383,"桃園市龍潭區烏樹林里中豐路317號1樓","桃園市",121.2115212,24.8784829
"52","統一超商股份有限公司",16086165,"屏東縣東港鎮延平路107號","屏東縣",120.4486697,22.4676735
"53","統一超商股份有限公司",16086762,"臺中市南屯區向上南路一段325號1樓","臺中市",120.6476674,24.1448786
"54","統一超商股份有限公司",16086778,"彰化縣員林市大同路1段238號1樓","彰化縣",120.5788444,23.9665405
"55","統一超商股份有限公司",16086783,"臺南市中西區府前路一段144號1樓","臺南市",120.2074329,22.9890955
"56","統一超商股份有限公司",16086926,"臺北市中山區民權西路66號1樓","臺北市",121.5200647,25.0626036
"57","統一超商股份有限公司",16087241,"臺北市士林區福順里重慶北路4段149、151號1樓","臺北市",121.5118499,25.0832246
"58","統一超商股份有限公司",16087256,"桃園市中壢區普義路175、175-1號1樓","桃園市",121.231422,24.9608463
"59","統一超商股份有限公司",16087262,"新竹市光明里十四鄰大學路五十八、60號1樓","新竹市",121.0006879,24.7893881
"60","統一超商股份有限公司",16087278,"高雄市前鎮區永豐路14號","高雄市",120.334363,22.603466
"61","統一超商股份有限公司",16087832,"高雄市意誠里三多四路93號","高雄市",120.300952,22.612632
"62","統一超商股份有限公司",16088163,"彰化縣花壇鄉中山路二段1、3、5號1樓","彰化縣",120.5392255,24.0257193
"63","統一超商股份有限公司",16088179,"臺中市西屯區大隆路56號1樓","臺中市",120.6531319,24.1563713
"64","統一超商股份有限公司",16088190,"彰化縣田中鎮福安路144、146號1樓","彰化縣",120.5891301,23.8614743
"65","統一超商股份有限公司",16088488,"新北市中和區興南路二段90號","新北市",121.5054095,24.9844684
"66","統一超商股份有限公司",16088500,"高雄市大社區中山路261號","高雄市",120.349125,22.731944
"67","統一超商股份有限公司",16088760,"臺北市大安區和平東路二段118巷33號1樓","臺北市",121.5429266,25.023535
"68","統一超商股份有限公司",16089058,"高雄市橋頭區白樹路53號","高雄市",120.3051627,22.758572
"69","統一超商股份有限公司",16089183,"桃園市中壢區東興里新興路162號1樓","桃園市",121.2263577,24.9530002
"70","統一超商股份有限公司",16089199,"臺北市北投區明德路99號1樓","臺北市",121.5193952,25.109518
"71","統一超商股份有限公司",16089732,"臺北市中山區復興北路164號1樓","臺北市",121.5437149,25.0535134
"72","統一超商股份有限公司",16090175,"臺中市龍井區忠和村中央路三段51號1樓","臺中市",120.5248836,24.2121783
"73","統一超商股份有限公司",16090203,"臺中市神岡區中山路736號1樓","臺中市",120.6803676,24.2482292
"74","統一超商股份有限公司",16090463,"臺中市大里區大明路238號1樓","臺中市",120.6837599,24.1153655
"75","統一超商股份有限公司",16090484,"屏東縣屏東市潭墘里大同北路1號1樓、勝利路262之2號1樓","屏東縣",NA,NA
"76","統一超商股份有限公司",16090490,"高雄市三民區莊敬路289號","高雄市",120.3183874,22.6496688
"77","統一超商股份有限公司",16090668,"嘉義縣民雄鄉民權路42-2號1樓","嘉義縣",120.431273,23.558111
"78","統一超商股份有限公司",16090674,"雲林縣元長鄉中山路32、32-2號1樓","雲林縣",120.3136674,23.6496782
"79","統一超商股份有限公司",16090689,"桃園市桃園區莊敬里經國路242號1樓","桃園市",121.3041053,25.0206724
"80","統一超商股份有限公司",16090724,"彰化縣彰化市南興里天祥路359號1樓","彰化縣",120.5332524,24.0615365
"81","統一超商股份有限公司",16090750,"彰化縣伸港鄉新港村中興路一段355號1樓","彰化縣",120.4889395,24.1474316
"82","統一超商股份有限公司",16091441,"新北市中和區忠孝街103、103–1號1樓","新北市",121.5119533,24.986247
"83","統一超商股份有限公司",16091456,"高雄市前鎮區竹內里賢明路3、5號1樓","高雄市",120.3245999,22.608969
